title,lyrics,release_date,Album,release_year,Word Count
Fire Away, keep saying alright fake smile there reservoir eyes that holding back long time what wrong  darling hold afraid ahead unload cause know okay  fire away fire away  hold close distance thinkin ever listen know sometimes gets confusin might lost losin  darling hold afraid ahead unload cause know okay  fire away fire away fire away fire away bridge steady hand when losin grip even understand talk steady hand when losin grip even understand talk  fire away fire away fire away fire away  fire away yeah,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,92
The Tide, ready feel coming coming again stay close hold steady cause want want those brown eyes crying crowded every time close always pulling apart  tide come wash away tide come take want safe place hide away tide come take tide come wash away tide come take wanna stay tide come take  ready feel coming coming again give cause needing understand when ever seem fear gonna find someone slowly watch disappear  tide come wash away tide come take want safe place hide away tide come take tide come wash away tide come take wanna stay tide come take bridge ready yeah feel coming coming again stay close hold steady cause want want want want  tide come wash away tide come take want safe place hide away tide come take tide come wash away tide come take wanna stay tide come take,2017-10-20,Flicker (Target Exclusive/Japanese Edition),2017,144
Cross Your Mind, world wanna live ocean wanna swim show watchin losin option  leave like message bottle come back tomorrow least came tonight easy pretend caught bothered give fight  love hurt even cross mind tell love know runnin wild give pain give everything hold back hold back leavin pieces swear worth every time even cross mind  keep talkin listen daydreamin bout lips been pull heart right chest drive train through still forgive  leave like message bottle come back tomorrow least came tonight easy pretend caught bothered give fight  love hurt even cross mind yeah tell love know runnin wild give pain give everything hold back hold back leavin pieces swear worth every time even cross mind bridge want there love tryin want there love tryin woah  love hurt even cross mind doesn even cross mind yeah tell love know runnin wild runnin wild give pain give everything hold back hold back leavin pieces swear worth every time even cross mind  doesn even cross mind,2020-03-13,Heartbreak Weather 5,2020,169
Arms of a Stranger, never thought would find lovers dark known someone long time never really know they feels like last week trippin right heart gonna honestly baby give back took apart  when knees darkness yeah break fall lyin helpless somehow still want more  left nothing lyin arms stranger think left nothing lookin eyes stranger just tryna yeah left nothing  chase love feel loved gave nothin real matter give enough guess holdin onto still  when knees darkness yeah break fall lyin helpless somehow still want more  left nothing lyin arms stranger think yeah left nothing lookin eyes stranger just tryna yeah left nothing bridge standin crowd nobody hear tryna standin crowd could tryna  left nothing lyin arms stranger think left nothing lookin eyes stranger just tryna yeah left nothing left nothing yeah left nothing lookin eyes stranger just tryna yeah left nothing left nothing,2020-03-13,Heartbreak Weather 5,2020,147
Meltdown, when melts down there  talkin yeah bathroom losin mind mirror like yeah screamin yeah driveway spinnin think life goin sideways yeah  broken glass turns total collapse just know this shall pass tellin tellin  when melts down there when melts down there tellin tellin  sleep thin yeah habit hard tell real dreams imagine yeah  nights broken glass turns total collapse just know this shall pass tellin tellin  when melts down there when melts down melts down when melts down there tellin tellin bridge when there wolves track wolves track catchin fast catchin fast baby look back look back look back baby look back when hittin wall hittin wall every star falls every star falls worry  when melts down there when melts down melts down when melts down there tellin tellin,2023-04-28,The Show: The Encore,2023,137
Bend the Rules, called miss babe wonder doin your favourite place list names leavin  sayin lyin leavin truth sayin guilty cause proof feelin like goin crazy know cause paper break them hurts bend rules post  bend rules  someone makes laugh help about pour glass last just medicine  sayin lyin leavin truth sayin guilty cause proof feelin like goin crazy know cause paper break them hurts bend rules post  bend rules bend rules  sayin lyin leavin truth sayin guilty cause proof feelin like goin crazy know cause paper break them fair bend rules post  bend rules bend rules bend rules,2020-03-13,Heartbreak Weather 5,2020,104
San Francisco, moon shining rising want wake lights fading changing overthinking know what  wanna kiss like first time hold like goodbye wish hadn been cruel wanna defenses down scream hear line  mind made take back take back francisco know would never last might show doorstep soakin done runnin want take back take back  drunk dialin full dive tell late cause pacing keep breaking make somehow  wanna kiss like first time hold like goodbye before fall somebody wanna defences down scream hear know good  mind made take back take back francisco know would never last might show doorstep soakin done runnin want take back take back bridge mind made mind made  take back take back francisco know could never last might show doorstep soakin done runnin want take back take back  take back take back take back take back,2020-03-13,Heartbreak Weather 5,2020,144
Science, feel what beneath stone cold feet numb touch silence little much  wanna break  feel there nothin left there still heart beatin chest runnin flood nowhere left post  science break down  dance okay cause alone hide love days  wanna break  feel there nothin there still heart atin chest runnin flood nowhere left bridge feel sinkin overthinkin time crashin down need somebody world heavy shine late  science break break break down science scare scare,2023-06-09,The Show: The Encore,2023,80
You Could Start A Cult, darlin give everything baby could start cult anywhere much beautiful  follow till there tomorrow follow till there tomorrow follow till there tomorrow follow  swear could start kingdoms fightin wake side wanna  follow till there tomorrow follow till there tomorrow follow till there tomorrow follow  break  baby could start cult they crazy much beautiful,2023-06-09,The Show: The Encore,2023,59
So Long, looking back changes started from know knew wrong know kept place mind know cause kind  knew along take long known since young take long know make feel loved make feel like home knew along take long  moving started looking back make wasted time know never walk from knew mine  knew along take long known since young take long know make feel loved make feel like home knew along take long bridge just started started trouble believing true just started started nothing prove  knew along take long known since young take long know make feel loved make feel like home knew along take long  take long take long take long take long,2019-02-01,,2019,117
Never Grow Up, never never never never grow grow never never never never grow grow never grow never never never never grow  never wanna like them talkin coffee nothin both forgettin friends another life wanna sleep feelin like ocean between sheets starin ceilin back turnin lights  hope still dance like fallin love hope still drink like back hope grow never grow hope still fight bands love hope still cause laughin much hope grow never grow never grow post   think could like that every single sunday sunday best laughin nothin full wine glass wild look eyes yeah makes sense never givin innocence every single night fire turnin lights  hope still dance like fallin love hope still drink like back hope grow never grow hope still fight bands love hope still cause laughin much hope grow never grow yeah never grow post   hope still dance like fallin love hope still drink like back hope grow never grow hope still fight bands love bands love hope still cause laughin much laughin much hope grow never grow yeah never grow yeah never grow post  yeah never ever ever grow yeah never ever ever grow  never never never never grow grow never never never never grow grow never grow never never never never grow,2023-06-09,The Show: The Encore,2023,216
New Angel, many hours night every second every thought wrapped around many feelings light need distraction like dancing  give what left cause feel heavenly know what best maybe time  need angel touch someone else save myself need angel touch never felt baby tell that each time close eyes running wild hoping mind need angel need angel  think dreams didn know missing walked like vision give something reach just keep doing cause move moving  need angel touch someone else save myself need angel need touch never felt baby tell that each time close eyes running wild hoping mind need angel need angel bridge give what left left cause feel heavenly heavenly give what left cause feel heavenly know what best maybe time  need angel touch someone else save myself need angel touch never felt baby tell that each time close eyes running wild hoping mind need angel need angel need angel angel,2020-03-13,Heartbreak Weather 5,2020,155
Finally Free, standin yeah first step hardest walkin unknown dark cold head clouds never knowin lies below  then spoke truth secrets told heart beatin  when right beside there nothin else need your eyes keep reminded nothin reach when feels like finally free feels like finally free  know know real edge look feels  then spoke truth secrets told heart beatin  when right beside there nothin else need yeah eyes keep reminded nothin reach when feels like finally free feels like finally free bridge used spend nights lookin stars wonderin there used spend nights lookin stars wonderin there  right beside there nothin else need yeah eyes keep reminded nothin reach easy believe when feels like finally free yeah feels like finally free feels like finally free,2018-07-06,Smallfoot (Original Motion Picture Soundtrack) [Deluxe Edition],2018,129
Must Be Love, specialist overthinkin everything tell time become mastermind goin vanishin until feel empty bottle wine  bein honest find hard keep simple follow heart  feels like love feels like love feels like love then must love  first degree bein worst enemy always runnin away  honest scares death trying stop tryin best  feels like love feels like love feels like love then must love bridge must love must love  bein honest find hard keep simple follow heart  feels like love feels like love feels like love then must love  must love feels like love must love feels like love must love feels like love then must love,2023-06-09,The Show: The Encore,2023,113
If You Leave Me, ever yeah yeah  dream chase street turned around gone woke daze moonlight face heart racin thought  leave think might lose completely yeah leave hope know sentencing life knees know would post  ever leave ever leave  deep swimmin tell want wanna change have promise stay close  leave think might lose completely yeah leave hope know sentencing life knees know would post  ever leave ever leave bridge wakin gone mornin goin sleep night feelings would foreign stay rest life  leave think might lose completely yeah leave leave hope know sentencing life knees know would know would post  ever leave ever yeah ever leave ever yeah ever leave ever  ever ever ever ever ever ever,2023-06-09,The Show: The Encore,2023,122
Save My Life, eyes bloomin floor shakin walls movin feeling changin  rollin like floatin seven feet ground float gotta tell  ever since walked seein light ever since walked startin feel like might save life post  might save life dyin darlin  gives shelter leaves open somethin interstellar where mind goin  ceiling when name like sounds afraid feel gotta tell  ever since walked seein light ever since walked startin feel like might save life post  might save life dyin darlin bridge might might save life might might save life might might save life save save save save yeah might might save life might might save life might might save life save save save save  ever since walked seein light ever since walked walked startin feel like might save life  might might might save life dyin darlin,2023-06-09,The Show: The Encore,2023,141
On A Night Like Tonight, wantin summer skin pressed mine fallin like rain ripplin supermoon watch dance eyes wildest dreams takin life  good here then what like high heaven  night like tonight stars passing wantin summer skin pressed mine wanna know lovin tastes like night like tonight post  yeah yeah  innocent kisses hearts fire high walkin wire yeah baby baby blow mind tell anything except goodbye  good then what like high heaven  night like tonight night night night stars passing passing passing passing wantin summer skin pressed mine wanna know lovin tastes like night like tonight night night night post  yeah yeah bridge wantin summer skin pressed mine wanna know lovin tastes like wantin summer skin pressed mine pressed mine pressed mine wantin summer skin pressed mine wanna know lovin tastes like night night night wantin summer skin pressed mine pressed mine pressed mine passing passing passing,2023-06-09,The Show: The Encore,2023,150
Nothing, what holds when alone what makes tiger tame what turns from black gold what sends tears flames  nothing nothing nothing  what moves like lightning bolt what preys fears what breaks helps understand what makes disappear  nothing nothing nothing except your love nothing nothing nothing except your love  what really want stormy life what choices really have with heart mine  nothing nothing nothing except love nothing nothing nothing except love bridge without love jaded going crazy come save heart beating breathing grieving  what holds when alone what makes tiger tame what turns from black gold what sends tears flames  nothing nothing nothing except love nothing nothing nothing except love nothing nothing except love nothing except love,2020-03-13,Heartbreak Weather 5,2020,123
Dress, keep staring little white number left summer hanging wardrobe still want still want know that disservice calling cause nervous know talk know purpose still want  holding  maybe time dress away leave maybe time give space wanna back body watch dance around tell sorry maybe time dress away even want babe  keep staring little white number picture when lose temper look hours still want smile staircase open door kissing couch make drawer darling still want  holding  maybe time dress away leave maybe time give space wanna back body watch dance around tell sorry maybe time dress away even want babe bridge know know want babe know know want babe  wanna back body watch dance around tell sorry maybe time dress away even though wanna babe,2020-03-13,Heartbreak Weather 5,2020,131
Fool’s Gold, like crow wire shining distraction makes home like boat water rays waves calm mind every time  know heart constant star  yeah first done falling fool gold knew that turned everyone regret falling fool gold  first admit reckless lost beauty feet front  know heart moving part  yeah first done falling fool gold knew that turned everyone regret falling fool gold bridge know love real that feels that feel  yeah first done falling fool gold knew that turned everyone regret falling fool gold,2017-08-29,Spotify Singles (2017),2017,88
You Could Start A Cult (Encore Version), niall horan darlin give everything baby could start cult anywhere much beautiful  niall horan follow till there tomorrow follow till there tomorrow follow till there tomorrow follow  lizzy mcalpine lately what know reality happily when look eyes swear true mountain move part wake side wanna  niall horan lizzy mcalpine follow till there tomorrow follow till there tomorrow follow till there tomorrow follow bridge lizzy mcalpine  niall horan baby could start cult they crazy much beautiful,2023-11-03,The Show: The Encore,2023,80
Lover, niall horan leave christmas lights january cause house make rules there dazzling haze mysterious about dear have known twenty seconds twenty years  niall horan always close forever ever take take home lover  fletcher could friends crash living room yeah cause place make call highly suspicious everybody sees wants loved three summers honey want  niall horan fletcher always close forever ever take take home lover bridge niall horan fletcher niall horan fletcher ladies gentlemen please stand with every guitar string scar hand take magnetic force lover heart borrowed blue well ends well swear overdramatic true lover save dirtiest jokes every table every table save seat lover  niall horan fletcher always close forever ever take take home darling lover,2020-03-04,Spotify Singles (2020),2020,122
Candy, james corden niall horan batman looking rocks something that sweet inside look like right size done piratical come visit visit girl break gonna make tootsie  james corden niall horan scary give candy satchel waiting trick treat  james corden niall horan captain sugar daddy starburst gonna jujube give good plenty love later girl gotta charleston chews crush candy stop  james corden niall horan scary give candy satchel waiting trick treat bridge james corden niall horan gonna tasty baby give hershey kiss then bunch swedish fish yeah what halloween fantasy want ghost baby want baby  james corden niall horan scary give candy satchel waiting trick treat scary give candy satchel waiting trick treat,2017-02-12,,2017,116
Circles, turn around upside down know proud even when tried believe every time  seasons change love went cold feed flame cause away running circles away away  feeling time knew doomed thought special special though though still hear echoes echoes feeling time  seasons change love went cold feed flame cause away running circles away away dare something waiting again take blame away running circles away away away bridge kids pumped kicks better better faster bullet kids pumped kicks better better outrun kids pumped kicks better better faster bullet kids pumped kicks better  seasons change love went cold feed flame cause away running circles away away dare something waiting again take blame away running circles away away away,2019-11-07,,2019,120
