title,lyrics,release_date,Album,release_year,Word Count
She Is Beauty We Are World Class, conversation currency shapes become language square eyes sunglasses finding faces trees fabricated fairytales bring world life down space time  beauty world class forever feeling last  escape inevitable fade light soak empathy cause tonight have before  beauty world class forever feeling last beauty world class forever feeling last post  bridge surrounded light surrounded light surrounded light surrounded light surrounded light surrounded light surrounded surrounded surrounded surrounded  beauty world class forever feeling last beauty world class forever feeling last  have before,2022-11-11,Faith in the Future (Bonus Edition),2022,86
Holding On To Heartache, said holdin heartache said wear like crown gonna drag down holdin heartache starin birds passin love  wind held knew would change creates strangest feelin just slowly waitin still dreams moments came moments never shown because faded darkness refrain still hear silence still hear clock that tickin  said holdin heartache said wear like crown gonna drag down holdin heartache starin birds passin love holdin heartache  nights change seasons become strangest days called twice regretted changed number questions where wrong there endless versions thing that keeps driftin back darkness refrain still hear silence still hear clock that tickin  said holdin heartache said wear like crown gonna drag down holdin heartache starin birds passin love bridge know party over when standin empty space alone time always heal make bones nothing ever easy honest easy myself second space comes floodin back  said holdin heartache said wear like crown gonna drag down holdin heartache starin birds passin love,2022-11-11,Faith in the Future (Bonus Edition),2022,159
Face the Music, good right wrong stories made young scare love hate between depends reality them  wanna stay moment rest life  night gonna choose wanna face music still wanna dance time wanna face music still wanna dance still wanna dance with  close eyes count standin edge fallin open looking down everything matters forgotten  wanna stay moment rest life  night gonna choose wanna face music still wanna dance time wanna face music still wanna dance still wanna dance with post   night gonna choose wanna face music still wanna dance time wanna face music still wanna dance still wanna dance with,2022-11-11,Faith in the Future (Bonus Edition),2022,104
Headline, sometimes wake hear silence pride hide beauty kindness fast judge error thought knew better quick kill forever  used read like headline many reasons mine maybe taken time still wanna talk every night head scared find used like headlin that reason mine anymore  spent summer workin education while runnin dreams kept waitin never told never guess never knew shortest forever thought could forget  used read like headline many reasons mine maybe taken time still wanna talk every night head scared find used read like headline that reason mine anymore post  used read like headline used read like headline  sometimes wake wish beside,2022-11-11,Faith in the Future (Bonus Edition),2022,107
That’s the Way Love Goes, here words know wanna hear think moved mate almost year seen here given space pick phone cause time learnt  that that love goes that that love goes  remember told give time well here chance take advice goin somewhere regret cause town easy forget  that that love goes guess that that love goes when cuts bleed that feelin most that that love goes post   here words know wanna hear think moved mate almost year gonna make sure okay cares loss anyway  that that love goes that that love goes when cuts bleed that feelin most that that love goes that that love goes that that love goes when cuts bleed that feelin most that that love goes post  that that love goes,2022-11-11,Faith in the Future (Bonus Edition),2022,129
Common People, came good home house full terrace dreams that enough know believe refrain late nights good times mistakes heartbreaks when lost back started  common people nothing changed hear strangers singin name like like common people know just willin like  took local deep pockets hearts screamin dance floor refrain late nights good times heartbreaks mistakes when lost back started  common people nothing changed hear strangers singin name like just like common people know just willin like like  common people nothing changed hear strangers singin name like just like common people know just willin like just like  just like,2022-11-11,Faith in the Future (Bonus Edition),2022,102
Out of My System, slowly never wanna slowly wanna faster towards disaster every time with know wanna come with take anything carry leave everythin else behind  half what think  gotta system gotta chest lived life already gotta rest  demons takin demons putting them cause wanna feel alive  half what think  gotta system gotta chest lived life already gotta rest post  gotta system system gotta system  gotta system gotta head lived life already gotta rest post  gotta system system gotta system gotta system system gotta system,2022-10-14,Faith in the Future (Bonus Edition),2022,90
Saved By A Stranger (Demo), livin dream sounded pretty good until woke woke twenty thousand miles away away anything that loved yeah loved  lowest when came took hand never forget wonder still remembers night night talked down wish could tell that changed better time coming round even know name saved stranger stranger  someone else fantasy nothing like reality know that yeah know that moment stay feel freedom that holdin holdin  lowest when came took hand never forget wonder still remembers night night talked down wish could tell that changed better time coming round even know name saved stranger saved stranger bridge  never forget wonder still remembers night night talked down wish could tell that changed better time coming round even know name thank even know name saved stranger,2022-09-01,Bigger Than Me,2022,128
Paradise, maybe maybe believe that anything else could hurt want lately lately easy life completed instead half full  know gonna make ship come sailing gonna spend another night dreaming could been  keep eyes horizon paradise mind anyway anyway keep head water paradise getting closer everyday everyday just just  calling hear forev calling gonna there nothing else wanting never want nothing never wanted something much want  gonna spend another night dreaming could been  keep eyes horizon paradise mind anyway anyway keep head water paradise getting closer everyday everyday just  gonna spend another night dreaming could been know charge when ships come sailing  keep eyes horizon paradise mind anyway anyway keep head water paradise getting closer everyday everyday just just,2022-11-11,Faith in the Future (Target Exclusive),2022,125
High In California, blue like light surroundin seems different around waves waves green keep comin like dream nothin same  goes changes never holdin anyone else when take somewhere better before  wanna california smoke weed outside summertim they always said everything feel alive spent whole life thinkin change spent whole life thinkin change wanna california smoke weed outside summertime post  time  could roll windows down golden hour wash room hope always stays around clouds smoke come bloom  when goes changes never holdin anyone else when take somewhere better before  wanna california smoke weed outside summertime they always said everything makes feel alive spent whole life thinkin change spent whole life thinkin change wanna california smoke weed outside summertime post  time time  wanna california smoke weed outside summertime wanna california smoke weed outside summertime they always said everything makes feel alive spent whole life thinkin change spent whole life thinkin change wanna california smoke weed outside summertime,2022-11-14,Faith in the Future (Bonus Edition),2022,161
The Way I Do, stay ever night long drive home every mile deja  more habit more while gotta nothing high there something bout didn know type silence girl like  ooohoohoh never thinking bout ever know back want stop relapse just want amnesia need  thing everything million memories fight this deny want next  habits more while gotta nothing high there something bout didn know type quiet girl like  ooohoohoh never thinking bout ever know back want stop relapse just want amnesia need ooohoohoh never thinking bout ever know back want stop relapse just want amnesia need,2022-12-02,,2022,97
