title,lyrics,release_date,Album,release_year,Word Count
Dusk Till Dawn, zayn tryna indie tryna cool just tryna this tell feel wind feel through windows inside room refrain zayn cause wanna touch baby wanna feel wanna rise sins just  zayn light make love tonight make fall love baby right here  zayn never alone dusk till dawn dusk till dawn baby right here hold things wrong dusk till dawn dusk till dawn baby right here post  zayn dusk till dawn baby right here  zayn shut like jacket would roll rapids find wave fits feel wind feel through windows inside room refrain zayn cause wanna touch baby wanna feel wanna rise sins just  zayn light make love tonight make fall love baby right here  zayn never alone dusk till dawn dusk till dawn baby right here hold things wrong dusk till dawn dusk till dawn baby right here bridge zayn zayn girl give love body stop girl give love body stop girl give love body stop girl give love body girl give love body  zayn never alone dusk till dawn dusk till dawn baby right here hold things wrong dusk till dawn dusk till dawn baby right here post  zayn dusk till dawn baby right,2017-09-08,Icarus Falls (Reissue),2017,201
PILLOWTALK, climb board slow high tempo light dark hold hard mellow  seeing pain seeing pleasure nobody body body bodies together love hold close tonight always love wake next love hold close tonight always love wake next  piss neighbours place feels tears place lose fears yeah reckless behaviour place pure dirty fuckin fightin paradise zone paradise zone  pillow talk enemy ally prisoners then free thin line  seeing pain seeing pleasure nobody body body bodies together love hold close tonight always love wake next  piss neighbours place feels tears place lose fears yeah reckless behaviour place pure dirty fuckin fightin paradise zone paradise zone bridge paradise paradise paradise paradise zone zone zone zone paradise paradise paradise paradise zone zone zone zone  piss neighbours place feels tears place lose fears yeah reckless behaviour place pure dirty fuckin fightin paradise yeah zone paradise zone,2016-01-29,Mind of Mine (Bonus Edition),2016,146
I Don’t Wanna Live Forever, zayn been sittin eyes wide open behind four walls hopin call cruel existence like point hopin  zayn baby baby feel crazy night night every give somethin nothin what happening  zayn wanna live forever cause know living vain wanna wherever wanna keep calling name until come back home wanna keep calling name until come back home wanna keep calling name until come back home  taylor swift sittin eyes wide open thing stuck mind wonderin dodged bullet lost love life  taylor swift baby baby feel crazy night night every gave somethin gave nothin what happening  zayn taylor swift both wanna live forever cause know living vain wanna babe wherever wherever wanna keep calling name until come back home wanna keep calling name until come back home wanna keep calling name until come back home bridge taylor swift zayn both looking nicest places baby baby feel crazy around empty faces night night every looking nicest places give somethin nothin tell place what happening  zayn taylor swift both wanna live forever cause know living vain wanna wanna babe wherever wherever wanna keep calling name until come back home home wanna keep calling name until come back home back woah wanna keep calling name until come back home wanna post  both zayn wanna keep calling name until come back home back home baby wanna keep calling name until come back home  taylor swift zayn wanna keep callin name until come back home until come back home,2016-12-09,reputation Stadium Tour Surprise Song Playlist ,2016,250
Let Me, sweet baby meaning meaning know time stay morning stay morning duvet days vanilla cream vanilla cream more night together exclusively exclusively  baby love love then take care  rest life rest yours rest life rest yours rest ours  drinkin finest label finest label dirty dancing table table long walks beach april beach april yeah promise darling faithful faithful  baby love love then take care love  rest life rest yours rest life rest yours rest ours bridge give body love like come little closer things this feelin last forever baby that truth love  baby love love then take care love  rest life rest life rest rest yours rest life rest life rest rest yours rest rest ours,2018-04-12,Icarus Falls (Reissue),2018,123
Entertainer, thought when lied face could truth every step knew fooled  guess didn know that favorite entertainer watch laugh would fuck take fool game rules favorite entertainer watch laugh would fake take fool show thing  never coming turn down when need most turn when need most turn down never coming turn down when need most turn when need most turn down  thought smarter ashamed knew right away stopped lovin happened touch wasn enough  thought know that favorite entertainer watch laugh would fuck play fool game rules favorite entertainer watch laugh would fake play fool show thing  never coming turn down when need most turn when need most turn down never coming turn down when need most turn when need most turn down bridge know harder take face playing games face straight know fake love anyway turn need anyway anyway anyway  never coming turn down when need most turn when need most turn down never coming turn down when need most turn when need most turn down  know need most most time,2018-05-23,Icarus Falls (Reissue),2018,178
​iT’s YoU, reasons talking give fuck need  tell brain equate tell lies face   cover scars bleed silence silence mistaken peace  wrong wantin make tell lies face  bridge could lesson never learn looked like blessing curse know know ,2016-02-25,Mind of Mine (Bonus Edition),2016,42
Better, hope leave good vibes living room floor hurts asked more your probably loves ever cause finally yeah finally knocked down  cause sometimes better gotta heart break cause love yeah baby love just time hear tryna know might feel quite love tell love  wait fight give goodbye right save tears eyes making wait hate save love  fell falling fall floor gamble take gamble take take still mind sometimes must admit like crime trial acquitted meant fitted like glove hated admit  cause obviously back would ruin that deep rearranged wanna names fruit sayin things take back deep rearranged feel same  wait fight give goodbye right save tears eyes watching wait hate save love,2020-09-25,Nobody Is Listening,2020,117
Still Got Time, zayn just stop lookin love girl young still time girl young still time girl young still just stop lookin love still time girl young still time girl young still time  zayn this could something something scare away turning somethings nothing babe already used games babe play role play same  zayn come give yeah yeah come give play play could tell bored cause young still time waste time wasting away yeah matter yeah that smile take places know wanna faces  zayn partynextdoor just stop lookin love girl young still time girl young still time girl young still just stop lookin love still time girl young still time girl young still time look  partynextdoor know working magic know diggin fabric boyfriend material said yourself digging lying said equally equally babe feeling feel something real owly well truthfully gotta stop looking  partynextdoor come give yeah yeah come give play play could tell bored cause young still time waste time wasting away yeah matter yeah that smile take places know wanna places  zayn just stop lookin love girl young still time girl young still time girl young still just stop lookin love still time girl young still time girl young still time bridge zayn partynextdoor this could something yeah this could this could something something could something yeah this could this could something yeah something right wanna  zayn partynextdoor come give yeah yeah come give play play could tell bored cause young still time waste time wasting away yeah matter yeah that smile take places know wanna places  zayn just stop lookin love girl young still time girl young still time girl young still just stop lookin love still time girl young still time girl young still,2017-03-24,Icarus Falls (Reissue),2017,292
Tightrope, gotta feel like walkin tightrope wanna fall cause already eyes closed never fell love tall  ready cause ready never thought ready again guess there somethin bout neon glow thinkin bout givin  somethin told somethin told somethin told somethin told  sittin legs across torso alone baby ready minute might fall lately feel like grip gone  ready cause ready never thought ready again guess there somethin bout neon glow thinkin bout givin  somethin told somethin told somethin told somethin told post   somethin told somethin told somethin told somethin told somethin told somethin told somethin told somethin told post ,2021-01-15,Nobody Is Listening,2021,105
A Whole New World (End Title), zayn show world shining shimmering splendid tell princess last heart decide open eyes take wonder wonder over sideways magic carpet ride  zayn zhavia whole world fantastic point view tell dreaming whole world dazzling place never knew here crystal clear that whole world whole world  zhavia unbelievable sights indescribable feeling soaring tumbling freewheeling through endless diamond  zhavia zayn both whole world dare close eyes hundred thousand things hold breath gets better like shooting star come back used whole world horizons pursue chase anywhere there time spare share whole world  bridge  zhavia zayn both whole world whole world fantastic point view tell dreaming whole world every turn surprise with horizons pursue every moment letter chase anywhere there time spare anywhere there time spare share whole world  zhavia zayn both whole world whole world that that thrilling chase wondrous place,2019-05-09,Aladdin (Trilha Sonora Original em Português),2019,144
Fingers, fucked want looked loved stuck need hopin touch wanna feel much conceal hiding features sliding filters should that middle hiding thinkin  fucked want even text cause fingers working heart wanna know then come love come love come love come love come love come love come love come love  what tell typo said loved didn mean sayin playin confused tryna play smooth stood spinnin room state consumed state consumed  cause fucked want even text cause fingers working heart wanna know then come love come love come love come love come love come love come love come love bridge know taking strength keep restrained cause different things replacing feelings felt seen yourself where shame shame need  fucked want even text cause fingers working heart wanna know then come love come love come love come love come love come love come love come love,2018-10-18,Icarus Falls (Reissue),2018,146
​wRoNg, zayn place show light feels right take flight clothes cause soft this fair fight wanna shed light subject wetter ever four letters never question likes messy like undressing  zayn looking wrong place love think real looking wrong place love stop cause like  kehlani kehlani zayn here cause right vibe seems like probably dope mind gotta right time good night time demeanor baby pleaser treat teacher cause problem problems know good tonight never thought understood baby people meant loved others make take willing give love hate  both zayn kehlani looking wrong place love think real looking wrong place love stop cause like refrain zayn kehlani stop doin doin stop doin stop bridge zayn kehlani really know what doin really care stop maybe keep stop doin stories wanna share stop  both zayn kehlani looking wrong place love think real looking wrong place love love stop cause like looking wrong place love think real looking wrong place love love stop cause like,2016-03-25,Mind of Mine (Bonus Edition),2016,164
Vibez, keep waitin waitin night closer already know know vibes know vibes movin fast slow baby mediocre know vibes know vibes  room imaginin things could tell lies lies need here need here mind runnin wild touchin slow just word ready anticipation plays four need  baby right will when touch tell feel feel trust make feel surreal baby mind mine things type things happen dreams right need just keep  keep waitin waitin night closer already know know vibes know vibes movin fast could slow fast baby mediocre vibes vibes bridge movin fast fast  baby right will when touch tell feel feel trust make feel surreal baby mind mine things type things happen dreams right need just keep keep waitin  keep waitin waitin night closer yeah already know know vibes know vibes vibes movin fast could slow baby mediocre vibes vibes,2021-01-08,Nobody Is Listening,2021,144
Calamity, nostalgia funny feelin feel depleted feelings revealin goin willing when time wrap white linen this sanity whatever calamity myself fuck fantasies snake fell ladder prefer speakin analogies enough trust family know what next brain dead never miss brain lives cannabis resist dark abyss leave mark start exist mind prism shape like prison state ther right feel late there light view stake life choose take what left room space there rumours face prefer sooner late seen actors bafta straight mean barrel hear sing carol they tryna sprint long farah they tryna long gone bother there other thought shudders lovers wanna still sleep death cousin weeks four dozen years pass press rewind just watch life lock right ties  nobody nobody listenin nobody nobody listenin nobody nobody listenin nobody nobody listenin,2021-01-15,Nobody Is Listening,2021,130
Good Years, rather anywhere anywhere here rather anywhere anywhere here close eyes crowd thousand tears pray waste good years good years good years  voices screaming loud hell care bout else nothing world could bring down high among stars without worry neither wants sorry  rather anywhere anywhere here rather anywhere anywhere here close eyes crowd thousand tears pray waste good years good years good years  much drugs alcohol what hell fighting cause whole damn world know that numb dumb change story neither wants sorry  rather anywhere anywhere here rather anywhere anywhere here close eyes crowd thousand tears pray waste good years good years good years bridge need chance breathe feel alive meets night show light feel wind fire hold pain deep inside eyes eyes  rather anywhere anywhere here rather anywhere anywhere here close eyes crowd thousand tears pray waste good years good years good years  pray waste good years good years good years,2018-12-06,Icarus Falls (Reissue),2018,157
