title,lyrics,release_date,Album,release_year,Word Count
Don’t Go Yet, replayed moment months alone head waitin come wrote lines script mind hoped follow once  imagined myself satin room platinum gold dance catch mesmerized find corner there hands hair finally here sayin flight need early night  what leavin night yours just littl more  baby caus wore dress drama think know baby come mama want want wanna wanna want baby gotta baby  find corner there hands hair finally here sayin flight need early night  what leavin night yours just little more post  melo bridge leave vayas date dale leave ahora vayas date leave stay little longer vayas date know really wanna leave stay little longer vayas date  what leavin night yours just little more what leavin night yours yours yours what leavin night yours just little more,2021-07-23,Familia,2021.0,133
Should’ve Said It,  want that funny cause give back then comin back around sorry cause there room good someone else gettin wanted desperately shoulda said  show door live anymore sendin songs really sound like before crazy caught confused love broken broken  lonely hold only lonely  want that funny cause give back then comin back around sorry cause there room good someone else gettin wanted desperately shoulda said  somethin givin nothin magic stop lookin happens baby fell grace landed right place kissed many times forgot taste  lonely hold only lonely  want that funny cause give back then comin back around sorry cause there room good someone else gettin wanted desperately shoulda said post  shoulda said love shoulda said shoulda said love bridge wish could turn back time hold closer instead pride knew first night took years make mind  want that funny cause give back then comin back around sorry cause there room good someone else gettin wanted desperately shoulda said post  shoulda said love shoulda said shoulda said love  want baby want baby want shoulda said shoulda said love,2019-12-06,Romance,2019.0,187
Cry for Me,  yeah well look happy walking street babe babe forget said that lifetime could never  when said hope happy mean never thought good moving when lying wide awake probably sleeping maybe thinking wrong  want baby cause haunt dreamin time know feeling  pretty life pictures lips erasing good vicious yeah thanking gonna touch like yeah tell make forget  when said hope happy mean didn mean yeah never thought good moving when lying wide awake probably sleeping sleeping maybe thinking wrong  want baby cause haunt dreamin time know feeling baby baby cause haunt dreamin time know feeling bridge tears eyes yeah okay okay okay  want yeah baby cause haunt dreamin haunt dreamin time know feeling time know feeling baby baby yeah yeah yeah baby cause haunt dreamin time know feeling baby ,2019-10-04,Romance,2019.0,137
Used to This, never liked francisco never thought nothin special kissed there never liked windy cities think maybe with like everywhere  strangest feelin midnight leavin once think stay name listen doesn sound different never whispered  gonna take minute could used this feelin fingertips feelin another kiss gonna take minute could used like every tattoo skin memorizin every inch could used could used this definitely  never like tequila there something bout think need drink calluses fingers admire distance cheek  known forever know better carried away bears repeating hard heart beating when tell stay  gonna take minute could used baby feelin fingertips feelin another kiss feelin another kiss gonna take minute could used like every tattoo skin memorizin every inch could used could used stay stay stay stay could used could used this definitely bridge never liked francisco never thought nothin special kissed there  gonna take minute could used yeah feelin fingertips feelin another kiss feelin another kiss gonna take minute could used like every tattoo skin skin memorizin every inch could used feel could used your kisses risk could used seventeen started fall lost could used believe definitely,2019-12-06,Romance,2019.0,191
Bad Kind of Butterflies, come next look breaking after gonna understand hate  what when love want somebody else what lose choose keep myself  kind butterflies like something hide lies tellin alright tonight tonight butterflies chest there something gotta confess somebody stuck head  know said friends said that meant swear meant somewhere then became friendship  what love want somebody else what lose choose keep myself  kind butterflies like something hide lies tellin alright tonight tonight butterflies chest there something gotta confess somebody stuck head bridge come next tell baby warnin mistake know gotta make  kind butterflies like something hide lies tellin alright tonight tonight butterflies chest chest chest there something gotta confess somebody stuck head head yeah head yeah ,2019-12-06,Romance,2019.0,122
​psychofreak, camila cabello willow feelin like psychofreak freak freak  camila cabello feelin like psychofreak sometimes tryna connected tell love lying give lemonade give limes house hills house cards blink fairytale falls apart sorry mean dark maybe alien earth hard  camila cabello sometimes trust feel instagram talkin bout healed worryin still appeal hopin drive hill when makin love wanna there wanna feel pullin hair believe words gotta outside need  willow want want want touch want touch fingertips numb want want want love want love chest tightenin want want want feel like chill leave restaurant wish could like everyone like anyone  camila cabello feelin like psychofreak sometimes tryna connected tell love lying give lemonade give limes house hills house cards blink fairytale falls apart sorry mean dark maybe alien earth hard post  camila cabello willow feelin like psychofreak freak freak feelin like psychofreak freak freak  camila cabello sorry focus movie everybody says miss ride since fifteen blame girls went down down thinkin loud bathroom friends laugh couch moment gone know wanna stay think gotta leave right  willow want want want touch want touch fingertips numb want want want love want love chest tightenin want want want feel like chill leave restaurant wish could like everyone wish could like anyone  camila cabello willow feelin like psychofreak sometimes tryna connected tell love lying give lemonade give limes house hills house cards blink fairytale falls apart sorry mean dark maybe alien earth hard post  camila cabello willow feelin like psychofreak freak freak freak feelin like psychofreak freak freak freak feelin like psychofreak,2022-04-08,Familia,2022.0,266
Inside Out, mhmm yeah yeah yeah  wanna love inside wanna love inside baby give doubt cause wanna love inside yeah yeah yeah wanna love inside show inside bout yeah yeah yeah wanna know word mouth cause wanna love inside post  yeah wanna love inside wanna love inside  look bright side right side best best yeah talking time talking worldwide worldwide waste girls time waste girls time cause love they never enough never enough  cause wanna love inside wanna love inside baby give doubt cause wanna love inside wanna love inside show inside bout wanna know word mouth cause wanna love inside yeah  grew south south miami that found yeah thought could without without high high cause love yeah yeah yeah there never enough never enough  cause wanna love inside wanna love inside baby give doubt cause wanna love inside wanna love inside show inside bout wanna know word mouth cause wanna love inside bridge miami xico esta cosa prendi baby just never love know baby miami xico esta cosa prendi baby just never love know baby  wanna love inside wanna love inside baby give doubt cause wanna love inside wanna love inside show inside bout wanna know word mouth cause wanna love inside yeah  yeah yeah yeah yeah,2018-01-12,Camila [Target Exclusive],2018.0,215
Feel It Twice,  scared look eyes might soul know love loneliest place fall alone  sitting phone holding onto hope spending night wondering wish felt feeling years  hurts hurt baby lying awake everything changed keeping distance lately kills kill tell that felt once feel twice take baby hurts tell feel same  feel still staring look away imagine pain feel kiss face  that said friend know taste almost stay know what worse getting broken making break  hurts hurt baby lying awake everything changed keeping distance lately kills kill tell that felt once feel twice take baby hurts tell feel same  hurts hurt babe feels like there nothing hurts hurt babe kills walk away cause felt once feel twice take baby hurts tell feel same  same yeah same same yeah yeah same,2019-12-06,Romance,2019.0,135
Never Be the Same (Radio Edit), something must gone wrong brain chemicals veins feeling highs feel pain wheel bullet lane seeing thinking straight blurring lines intoxicate  just like nicotine rushin touchin suddenly fiend need need yeah need  babe sucker move babe could would useless blame just knew never same babe sucker move babe could would useless blame just knew never ever ever same post  never same never same never same  sneaking lights touch could overdose said stop playing safe girl wanna lose control  just like nicotine rushin touchin suddenly fiend need need yeah need  babe sucker move babe could would useless blame just knew never same babe sucker move babe could would useless blame just knew never ever ever same post  never same never same never same bridge blood veins head blame blood veins head sayin  babe sucker move babe could would useless blame blame just knew never never babe sucker move babe could would useless blame just knew never ever ever,2017-12-07,Camila [Target Exclusive],2017.0,165
June Gloom, june gloom tule might well meet montauk cold beach walk feel body scream talk cool heard surprised pictures house fire sure hope burn gets bigger  amazing side town like much what tryna find  does baby talk poems songs baby little kiss make head hazy really love crazy does move like darlin toyin know want best iconic know haven hope  come much better gonna ever guess fuck around find guess fuck around know like whatever makes feel better truth honey think about  would feel alive text favorite songs turning  does baby talk poems songs baby little kiss make head hazy really love crazy crazy does move like darlin toyin know want best iconic know haven hope bridge goddamn fallin kitchen floor goddamn think before goddamn could problem this could problem goddamn goddamn said remember last night said forget tried goddamn always problem always problem  ,2024-06-28,"C,XOXO (Magic City Edition)",2024.0,151
